상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA010120220805440244,다크,,G2,소매,G212,기타 생활용품 소매,G21202,주방/가정용품 소매업,G47599,그 외 기타 분류 안된 가정용품 소매업,41,경기도,41171,안양시 만안구,41171560,안양6동,4117110100,안양동,4117110100105320003,1,대지,532.0,3.0,경기도 안양시 만안구 안양동 532-3,411713182005.0,경기도 안양시 만안구 문예로,50.0,,4117110100105320003010210,한림시티빌아파트,경기도 안양시 만안구 문예로 50,430824.0,14035,,2,,126.933154453209,37.3860164645581
MA010120220805438473,예스빠,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41171,안양시 만안구,41171510,안양1동,4117110100,안양동,4117110100106740230,1,대지,674.0,230.0,경기도 안양시 만안구 안양동 674-230,411714346193.0,경기도 안양시 만안구 안양로292번길,17.0,,4117110100106740230008378,,경기도 안양시 만안구 안양로292번길 17,430831.0,13992,,,,126.922693589222,37.3989329774657
MA010120220805441803,수,,R1,예술·스포츠,R103,스포츠 서비스,R10312,테니스장,R91139,그 외 기타 스포츠시설 운영업,41,경기도,41173,안양시 동안구,41173566,부림동,4117310200,관양동,4117310200116040000,1,대지,1604.0,,경기도 안양시 동안구 관양동 1604,411734349080.0,경기도 안양시 동안구 관평로182번길,42.0,,4117310200116040000003557,남경빌딩,경기도 안양시 동안구 관평로182번길 42,431815.0,14066,,,,126.96263561616,37.3936224543145
MA010120220805441770,서울마트,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,41,경기도,41171,안양시 만안구,41171630,박달2동,4117110300,박달동,4117110300106840000,1,대지,684.0,,경기도 안양시 만안구 박달동 684,411713000022.0,경기도 안양시 만안구 오리로,10.0,,4117110300106840000006099,,경기도 안양시 만안구 오리로 10,430849.0,13976,,1,,126.886289379167,37.4059933723182
MA010120220805443802,프로모션다이렉트카,,N1,시설관리·임대,N109,운송장비 대여,N10901,자동차 대여업,N76110,자동차 임대업,41,경기도,41171,안양시 만안구,41171560,안양6동,4117110100,안양동,4117110100104350001,1,대지,435.0,1.0,경기도 안양시 만안구 안양동 435-1,411713182003.0,경기도 안양시 만안구 만안로,99.0,,4117110100104350001010545,프리빌오피스텔,경기도 안양시 만안구 만안로 99,430822.0,14033,,12,,126.931450052591,37.3915336105803
MA010120220805442644,별,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41171,안양시 만안구,41171520,안양2동,4117110100,안양동,4117110100100420001,1,대지,42.0,1.0,경기도 안양시 만안구 안양동 42-1,411713183019.0,경기도 안양시 만안구 예술공원로,72.0,,4117110100100420001004716,,경기도 안양시 만안구 예술공원로 72,430854.0,13958,,1,,126.91733123552,37.4144633349009
MA010120220805442988,삼익헤어라인,,S2,수리·개인,S207,이용·미용,S20701,미용실,S96112,두발 미용업,41,경기도,41171,안양시 만안구,41171560,안양6동,4117110100,안양동,4117110100104340005,1,대지,434.0,5.0,경기도 안양시 만안구 안양동 434-5,411714346170.0,경기도 안양시 만안구 수리산로55번길,35.0,,4117110100104340005010163,,경기도 안양시 만안구 수리산로55번길 35,430822.0,14033,,1,,126.930930473512,37.3907449885379
MA010120220805445192,러브온팁,,S2,수리·개인,S207,이용·미용,S20703,네일숍,S96119,기타 미용업,41,경기도,41173,안양시 동안구,41173610,범계동,4117310400,호계동,4117310400110460001,1,대지,1046.0,1.0,경기도 안양시 동안구 호계동 1046-1,411734349201.0,경기도 안양시 동안구 평촌대로223번길,65.0,,4117310400110460001005149,범계빌딩,경기도 안양시 동안구 평촌대로223번길 65,431812.0,14072,,,,126.95220481337,37.3900613820874
MA010120220805445146,호호에어컨이전설치안양군포의왕,,S2,수리·개인,S205,가전제품 수리,S20501,가전제품 수리업,S95310,가전제품 수리업,41,경기도,41171,안양시 만안구,41171540,안양4동,4117110100,안양동,4117110100107140053,1,대지,714.0,53.0,경기도 안양시 만안구 안양동 714-53,411713182008.0,경기도 안양시 만안구 삼덕로,83.0,,4117110100107140053013449,,경기도 안양시 만안구 삼덕로 83,430835.0,14003,,,,126.917330487555,37.3956762099599
MA010120220805447440,방아깐@통골뱅이,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41173,안양시 동안구,41173566,부림동,4117310200,관양동,4117310200116010000,1,대지,1601.0,,경기도 안양시 동안구 관양동 1601,411734349080.0,경기도 안양시 동안구 관평로182번길,43.0,,4117310200116010000003559,삼일프라자빌딩,경기도 안양시 동안구 관평로182번길 43,431815.0,14066,,,,126.962550486545,37.394063229763
MA010120220805449673,데이미,,S2,수리·개인,S207,이용·미용,S20702,피부 관리실,S96113,피부 미용업,41,경기도,41171,안양시 만안구,41171540,안양4동,4117110100,안양동,4117110100107820018,1,대지,782.0,18.0,경기도 안양시 만안구 안양동 782-18,411713182007.0,경기도 안양시 만안구 병목안로,20.0,,4117110100107820018018010,스페이스타워,경기도 안양시 만안구 병목안로 20,430837.0,14001,,3,,126.918356383616,37.3989474437066
MA010120220805450229,행복공인중개사사무소,,L1,부동산,L102,부동산 서비스,L10203,부동산 중개/대리업,L68221,부동산 중개 및 대리업,41,경기도,41173,안양시 동안구,41173580,호계1동,4117310400,호계동,4117310400109970000,1,대지,997.0,,경기도 안양시 동안구 호계동 997,411734349222.0,경기도 안양시 동안구 흥안대로133번길,34.0,,4117310400109970000005950,청도아파트,경기도 안양시 동안구 흥안대로133번길 34,431841.0,14112,,1,,126.959290712321,37.3725261079225
MA010120220805448522,선한노무사사무소,,M1,과학·기술,M103,법무관련 ,M10307,공인노무사,M71109,기타 법무관련 서비스업,41,경기도,41171,안양시 만안구,41171570,안양7동,4117110100,안양동,4117110100101980003,1,대지,198.0,3.0,경기도 안양시 만안구 안양동 198-3,411713182024.0,경기도 안양시 만안구 전파로,64.0,,4117110100101980003009849,,경기도 안양시 만안구 전파로 64,430857.0,14086,,,,126.939715608313,37.3900041196425
MA010120220805452218,루디아슈퍼,,G2,소매,G204,종합 소매,G20404,슈퍼마켓,G47129,기타 음ㆍ식료품 위주 종합 소매업,41,경기도,41171,안양시 만안구,41171581,안양9동,4117110100,안양동,4117110100109910029,1,대지,991.0,29.0,경기도 안양시 만안구 안양동 991-29,411714346108.0,경기도 안양시 만안구 병목안로130번길,46.0,,4117110100109910029009308,,경기도 안양시 만안구 병목안로130번길 46,430836.0,14019,,1,,126.906663864472,37.3921540259938
MA010120220805451345,안양범계체형교정본밸런스,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,P85612,기타 스포츠 교육기관,41,경기도,41173,안양시 동안구,41173610,범계동,4117310400,호계동,4117310400110480003,1,대지,1048.0,3.0,경기도 안양시 동안구 호계동 1048-3,411732183002.0,경기도 안양시 동안구 평촌대로,217.0,,4117310400110480003005170,한솔센트럴파크I,경기도 안양시 동안구 평촌대로 217,431779.0,14072,,,,126.955618287715,37.390659251122
MA010120220805453528,입주청소,,N1,시설관리·임대,N102,청소·방제,N10201,건축물 일반 청소업,N74211,건축물 일반 청소업,41,경기도,41173,안양시 동안구,41173566,부림동,4117310200,관양동,4117310200115980000,1,대지,1598.0,,경기도 안양시 동안구 관양동 1598,411732182002.0,경기도 안양시 동안구 시민대로,266.0,,4117310200115980000004826,평촌샤르망오피스텔,경기도 안양시 동안구 시민대로 266,431785.0,14066,,,,126.960283740436,37.3938270642521
MA010120220805453306,연앤영,,G2,소매,G209,섬유·의복·신발 소매,G20907,액세서리/잡화 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,41,경기도,41171,안양시 만안구,41171540,안양4동,4117110100,안양동,4117110100106760301,1,대지,676.0,301.0,경기도 안양시 만안구 안양동 676-301,411713182016.0,경기도 안양시 만안구 안양로,287.0,,4117110100106760301007993,,경기도 안양시 만안구 안양로 287,430832.0,14001,,2,,126.921803847836,37.3979697414689
MA010120220805453404,에디션,,M1,과학·기술,M105,광고,M10501,광고 대행업,M71310,광고 대행업,41,경기도,41173,안양시 동안구,41173590,호계2동,4117310400,호계동,4117310400109000000,1,대지,900.0,,경기도 안양시 동안구 호계동 900,411734349139.0,경기도 안양시 동안구 시민대로109번길,29.0,,4117310400109000000013972,에이스하이테크시티범계,경기도 안양시 동안구 시민대로109번길 29,431836.0,14042,,6,,126.943539106671,37.3871279007706
MA010120220805455831,대박축산,,G2,소매,G205,식료품 소매,G20503,정육점,G47212,육류 소매업,41,경기도,41173,안양시 동안구,41173540,부흥동,4117310100,비산동,4117310100111080001,1,대지,1108.0,1.0,경기도 안양시 동안구 비산동 1108-1,411732182002.0,경기도 안양시 동안구 시민대로,175.0,,4117310100111080001005143,동안프라자빌딩,경기도 안양시 동안구 시민대로 175,431817.0,14048,,,,126.950413949027,37.3913430340403
MA010120220805455340,우근엔지니어링,,M1,과학·기술,M109,기술 서비스,M10999,기타 엔지니어링 서비스업,M72129,기타 엔지니어링 서비스업,41,경기도,41173,안양시 동안구,41173590,호계2동,4117310400,호계동,4117310400109000000,1,대지,900.0,,경기도 안양시 동안구 호계동 900,411734349139.0,경기도 안양시 동안구 시민대로109번길,29.0,,4117310400109000000013972,에이스하이테크시티범계,경기도 안양시 동안구 시민대로109번길 29,431836.0,14042,,B2,,126.943539106671,37.3871279007706
MA010120220805457828,스튜디오못,,M1,과학·기술,M112,전문 디자인,M11203,시각 디자인업,M73203,시각 디자인업,41,경기도,41173,안양시 동안구,41173552,관양동,4117310200,관양동,4117310200113750009,1,대지,1375.0,9.0,경기도 안양시 동안구 관양동 1375-9,411734349087.0,경기도 안양시 동안구 관평로327번길,56.0,,4117310200113750009000686,,경기도 안양시 동안구 관평로327번길 56,431805.0,13933,,4,,126.954582388762,37.4058871015927
MA010120220805457733,더홈,,I2,음식,I212,비알코올 ,I21201,카페,I56221,커피 전문점,41,경기도,41171,안양시 만안구,41171590,석수1동,4117110200,석수동,4117110200100770001,1,대지,77.0,1.0,경기도 안양시 만안구 석수동 77-1,411713182009.0,경기도 안양시 만안구 삼막로,43.0,,4117110200100770001002764,,경기도 안양시 만안구 삼막로 43,430804.0,13910,,1,,126.912294954968,37.4236980060189
MA010120220805458225,은경영컨설팅,,M1,과학·기술,M107,본사·경영 컨설팅,M10703,경영 컨설팅업,M71531,경영 컨설팅업,41,경기도,41171,안양시 만안구,41171570,안양7동,4117110100,안양동,4117110100114320000,1,대지,1432.0,,경기도 안양시 만안구 안양동 1432,411714346052.0,경기도 안양시 만안구 덕천로152번길,25.0,,4117110100101890000020804,안양아이에스BIZ타워센트럴,경기도 안양시 만안구 덕천로152번길 25,430017.0,14084,,19,,126.938297255633,37.3928838102615
MA010120220805459670,삼막풍천장어,,I2,음식,I201,한식,I20112,해산물 구이/찜,I56114,한식 해산물 요리 전문점,41,경기도,41171,안양시 만안구,41171590,석수1동,4117110200,석수동,4117110200100570006,1,대지,57.0,6.0,경기도 안양시 만안구 석수동 57-6,411714346119.0,경기도 안양시 만안구 삼막로39번길,47.0,,4117110200100570006000001,,경기도 안양시 만안구 삼막로39번길 47,430804.0,13910,,,,126.913021766885,37.4250022145061
MA010120220805458920,안양윤가가발,,G2,소매,G221,기타 상품 소매,G22199,그 외 기타 상품 전문 소매업,G47422,의복 액세서리 및 모조 장신구 소매업,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200114740001,1,대지,1474.0,1.0,경기도 안양시 동안구 관양동 1474-1,411732182001.0,경기도 안양시 동안구 관악대로,436.0,,4117310200114740001003429,,경기도 안양시 동안구 관악대로 436,431810.0,13949,,4,,126.97118205434,37.4045639776995
MA010120220805458734,에트,,G2,소매,G209,섬유·의복·신발 소매,G20905,기타 의류 소매업,G47413,속옷 및 잠옷 소매업,41,경기도,41173,안양시 동안구,41173552,관양동,4117310200,관양동,4117310200117110000,1,대지,1711.0,,경기도 안양시 동안구 관양동 1711,411734349263.0,경기도 안양시 동안구 동편로39번길,1.0,,4117310200117110000000001,,경기도 안양시 동안구 동편로39번길 1,431061.0,13929,,,,126.972980887824,37.4076612588892
MA010120220805459479,세컨드랜드,,M1,과학·기술,M112,전문 디자인,M11202,제품 디자인업,M73202,제품 디자인업,41,경기도,41171,안양시 만안구,41171570,안양7동,4117110100,안양동,4117110100114320000,1,대지,1432.0,,경기도 안양시 만안구 안양동 1432,411714346052.0,경기도 안양시 만안구 덕천로152번길,25.0,,4117110100101890000020804,안양아이에스BIZ타워센트럴,경기도 안양시 만안구 덕천로152번길 25,430017.0,14084,,,,126.938297255633,37.3928838102615
MA010120220805458807,부산어묵,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,41,경기도,41171,안양시 만안구,41171611,충훈동,4117110200,석수동,4117110200107850010,1,대지,785.0,10.0,경기도 안양시 만안구 석수동 785-10,411713182021.0,경기도 안양시 만안구 와룡로,28.0,,4117110200107850010003167,,경기도 안양시 만안구 와룡로 28,430853.0,13974,,1,,126.89791085235,37.4068591645534
MA010120220805458812,놀이터호프,,I2,음식,I211,주점,I21104,요리 주점,I56219,기타 주점업,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200115010010,1,대지,1501.0,10.0,경기도 안양시 동안구 관양동 1501-10,411734349178.0,경기도 안양시 동안구 인덕원로24번길,41.0,,4117310200115010010001502,,경기도 안양시 동안구 인덕원로24번길 41,431846.0,13951,,2,,126.975357300739,37.4007076320155
MA010120220805461951,바다향기,,I2,음식,I201,한식,I20111,횟집,I56114,한식 해산물 요리 전문점,41,경기도,41171,안양시 만안구,41171621,박달1동,4117110300,박달동,4117110300100450017,1,대지,45.0,17.0,경기도 안양시 만안구 박달동 45-17,411714346235.0,경기도 안양시 만안구 양화로135번길,23.0,,4117110300100450017013291,,경기도 안양시 만안구 양화로135번길 23,430846.0,13984,,,,126.907878614684,37.4041673855921
MA010120220805461970,물오름달사진관,,M1,과학·기술,M113,사진 촬영,M11301,사진촬영업,M73301,인물 사진 및 행사용 영상 촬영업,41,경기도,41173,안양시 동안구,41173610,범계동,4117310400,호계동,4117310400110420003,1,대지,1042.0,3.0,경기도 안양시 동안구 호계동 1042-3,411734349202.0,경기도 안양시 동안구 평촌대로227번길,26.0,,4117310400110420002008177,세종상가,경기도 안양시 동안구 평촌대로227번길 26,431812.0,14072,,6,,126.953980394404,37.3915007860801
MA010120220805462241,샤크짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,41,경기도,41171,안양시 만안구,41171600,석수2동,4117110200,석수동,4117110200102800006,1,대지,280.0,6.0,경기도 안양시 만안구 석수동 280-6,411713182012.0,경기도 안양시 만안구 석천로,183.0,,4117110200102800006011815,,경기도 안양시 만안구 석천로 183,430807.0,13968,,3,,126.909097265397,37.4128197983369
MA010120220805462320,나비잠방탈출카페,,R1,예술·스포츠,R104,유원지·오락,R10405,기타 오락장,R91229,기타 오락장 운영업,41,경기도,41173,안양시 동안구,41173610,범계동,4117310400,호계동,4117310400110440001,1,대지,1044.0,1.0,경기도 안양시 동안구 호계동 1044-1,411734349201.0,경기도 안양시 동안구 평촌대로223번길,28.0,,4117310400110440002005159,,경기도 안양시 동안구 평촌대로223번길 28,431812.0,14072,,5,,126.954008110676,37.3911315943212
MA010120220805461045,아재순대소녀감자탕,,I2,음식,I201,한식,I20101,백반/한정식,I56111,한식 일반 음식점업,41,경기도,41173,안양시 동안구,41173620,신촌동,4117310400,호계동,4117310400110660006,1,대지,1066.0,6.0,경기도 안양시 동안구 호계동 1066-6,411734349193.0,경기도 안양시 동안구 평촌대로107번길,20.0,,4117310400110660006005038,,경기도 안양시 동안구 평촌대로107번길 20,431827.0,14099,,1,,126.959661494631,37.3816481806664
MA010120220805460890,에리체필라테스,,P1,교육,P106,기타 교육,P10603,요가/필라테스 학원,R91139,그 외 기타 스포츠시설 운영업,41,경기도,41173,안양시 동안구,41173510,비산1동,4117310100,비산동,4117310100105150002,1,대지,515.0,2.0,경기도 안양시 동안구 비산동 515-2,411733183009.0,경기도 안양시 동안구 비산로,18.0,,4117310100105150002002078,평촌자이아이파크,경기도 안양시 동안구 비산로 18,431818.0,13924,,3,,126.933259637485,37.4001100519753
MA010120220805464204,신안세무회계,,M1,과학·기술,M104,회계·세무,M10402,세무사,M71202,세무사업,41,경기도,41173,안양시 동안구,41173546,달안동,4117310100,비산동,4117310100111150000,1,대지,1115.0,,경기도 안양시 동안구 비산동 1115,411732183002.0,경기도 안양시 동안구 평촌대로,239.0,,4117310100111150000005173,신안메트로칸,경기도 안양시 동안구 평촌대로 239,431811.0,14047,,,,126.954123082899,37.3926103589132
MA010120220805464343,세원엔지니어링,,M1,과학·기술,M109,기술 서비스,M10901,건축 설계 및 관련 서비스업,M72111,건축 설계 및 관련 서비스업,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200114880035,1,대지,1488.0,35.0,경기도 안양시 동안구 관양동 1488-35,411732000018.0,경기도 안양시 동안구 흥안대로,533.0,,4117310200114880035007977,인덕원골드프라자,경기도 안양시 동안구 흥안대로 533,431846.0,13951,,10,,126.97613581543,37.4015974206562
MA010120220805463096,걸작떡볶이안양,,I2,음식,I210,기타 간이,I21007,김밥/만두/분식,I56194,김밥 및 기타 간이 음식점업,41,경기도,41171,안양시 만안구,41171530,안양3동,4117110100,안양동,4117110100106950052,1,대지,695.0,52.0,경기도 안양시 만안구 안양동 695-52,411713012043.0,경기도 안양시 만안구 박달로,548.0,1.0,4117110100106950052005089,,경기도 안양시 만안구 박달로 548-1,430838.0,14005,,1,,126.913652520541,37.402454499919
MA010120220805463483,동네찻집,,I2,음식,I212,비알코올 ,I21201,카페,I56229,기타 비알코올 음료점업,41,경기도,41173,안양시 동안구,41173580,호계1동,4117310400,호계동,4117310400110270000,1,대지,1027.0,,경기도 안양시 동안구 호계동 1027,411734349163.0,경기도 안양시 동안구 엘에스로91번길,16.0,39.0,4117310400110270000008492,안양IT밸리,경기도 안양시 동안구 엘에스로91번길 16-39,431848.0,14119,,1,,126.948360563286,37.3709877127573
MA010120220805462748,그린쉐어,,S2,수리·개인,S203,자동차 수리·세차,S20302,자동차 세차장,S95213,자동차 세차업,41,경기도,41171,안양시 만안구,41171550,안양5동,4117110100,안양동,4117110100106180224,1,대지,618.0,224.0,경기도 안양시 만안구 안양동 618-224,,경기도 안양시 만안구,,,4117110100106180224001439,,경기도 안양시 만안구 ,430828.0,14031,,,,126.922587491183,37.3913540733871
MA010120220805466459,한길엔지니어링,,M1,과학·기술,M109,기술 서비스,M10903,건물 및 토목 엔지니어링 서비스업,M72121,건물 및 토목 엔지니어링 서비스업,41,경기도,41173,안양시 동안구,41173559,인덕원동,4117310200,관양동,4117310200107920002,1,대지,792.0,2.0,경기도 안양시 동안구 관양동 792-2,411733196015.0,경기도 안양시 동안구 벌말로,123.0,,4117310200107920002013332,평촌스마트베이,경기도 안양시 동안구 벌말로 123,431804.0,14056,,,,126.968292500258,37.3994748121322
