시군명,사업단계,사업유형,정비구역명,위치,위도,경도,구역면적 제곱미터,기존주택 준공년도,기존주택 동수,기존주택 세대수,사업시행세대수총계,조합원분양세대수,일반분양세대수,임대세대수,신축주택 분양주택수,신축주택 임대주택수,기존 용적률,신축 용적률,토지등소유자수,조합원수,사업시행자,사업예정기간 사업시작,사업예정기간 사업완료,정비예정구역고시일자,정비구역지정예정일자,정비계획승인일자,정비구역지정일자 최초지정,정비구역지정일자 변경지정,추진위승인일자,예비평가일자,안전진단일자,조합설립인가일자,사업시행인가일자,관리처분인가일자,착공일자,일반분양일자,준공일자,이전고시일자,현추진상황,담당부서,담당자전화번호
안양시,준공,재건축,주공아파트주변(단독주택),경기도 안양시 동안구 호계1동 981,37.3766637,126.9595301,11094,1984,48,48,200,58,142,,200,,100~200%,265%,51,42,조합,2011,2018,2006-08-07,,,2011-07-28,2018-09-10,2011-11-23,2008-04-25,2008-11-17,2012-06-12,2014-01-28,2014-10-23,2015-11-06,2015-11-19,2018-03-30,2018-09-14,이전고시,도시정비과,031-8045-5065
안양시,준공,재건축,석수한신아파트주변지구,경기도 안양시 만안구 석수동 417-3,37.43331493,126.9018322,47177,1984,55,577,742,491,185,66,676,66,86%,228%,577,526,조합,2006,2010,2006-08-07,,,2006-08-22,2010-09-28,,2003-05-20,2003-06-26,2003-06-30,2007-04-10,2007-12-31,2008-08-13,2010-05-13,2010-09-29,2011-07-22,이전고시,도시정비과,031-8045-5065
안양시,준공,재건축,백조아파트지구,경기도 안양시 만안구 석수동 374-5,37.43334342,126.9039334,28130,1980,21,472,542,466,19,57,485,57,98%,229%,479,469,조합,2005,2009,,,,2005-09-05,2009-01-15,,,2002-02-27,2002-12-23,2005-10-27,2006-08-23,2007-04-18,2009-02-25,2009-06-29,2009-09-29,이전고시,도시정비과,031-8045-2402
안양시,준공,재건축,석수주공2단지지구,경기도 안양시 만안구 석수3동 788,37.4062617,126.9034014,58936,1985,31,848,1134,841,204,89,1045,89,81%,285%,863,757,조합,2005,2009,,,,2005-08-29,2009-09-09,,2001-09-27,2001-12-19,2002-12-06,2005-12-13,2006-09-04,2007-02-08,2009-11-05,2009-09-30,2010-02-23,이전고시,도시정비과,031-8045-2402
안양시,준공,재건축,박달1동 연합지구,경기도 안양시 만안구 박달1동 37,37.40438169,126.9066704,18784,1984,63,313,392,230,130,32,360,32,128%,262%,271,230,조합,2005,2009,,,,2005-12-19,,,1999-10-01,1999-11-01,2003-06-24,2006-04-24,2006-10-27,2007-09-21,2009-11-12,2009-12-02,2010-05-19,이전고시,도시정비과,031-8045-2402
안양시,준공,재건축,동삼아파트지구,경기도 안양시 만안구 석수2동 485-8,37.42600856,126.9039047,11850,1984,9,224,281,144,127,10,271,10,133%,253%,230,144,조합,2005,2011,,,,2005-05-02,2011-10-24,2003-12-09,2003-06-26,2003-10-02,2005-05-03,2005-10-25,2007-11-12,2009-03-24,2011-08-22,2011-10-27,2012-01-03,이전고시,도시정비과,031-8045-2402
안양시,조합설립,재건축,현대아파트,경기도 안양시 동안구 관양1동 1396,37.40593936,126.9564602,62557,1985,12,904,1305,1305,,,1305,,186%,300%,976,956,,2020,,2017-12-07,2020-09-22,2020-09-22,2020-09-22,2025-04-04,2020-11-11,2017-04-04,2018-08-20,2021-07-20,,,,,,,조합설립인가,도시정비과,031-8045-2374
안양시,관리처분,재개발,상록,경기도 안양시 만안구 안양8동 398-32,37.38106054,126.9311614,69912,평균 1986,350,1103,1716,794,630,292,1424,292,100~200%,288%,739,680,조합,2008,2026,2006-08-07,,2008-08-01,2008-12-08,2023-09-20,2006-08-16,,,2009-05-19,2021-06-28,2021-12-28,,,,,관리처분인가 고시,도시정비과,031-8045-5282
안양시,관리처분,재건축,박달신한아파트,경기도 안양시 만안구 박달2동 111-1,37.40391527,126.9039777,19457,1986,11,370,507,374,133,,507,,148%,270%,375,374,조합,2015,2023,2010-05-27,2012-12-31,2014-10-17,2015-04-01,2020-05-15,2016-03-24,2013-01-18,2013-05-28,2019-04-26,2021-04-13,2023-04-01,,,,,주민이주,도시정비과,031-8045-2402
안양시,관리처분,재건축,미륭아파트,경기도 안양시 동안구 비산2동 406,37.39858626,126.9411906,28377,1979,8,576,723,568,134,21,702,21,255%,300%,565,577,조합,2012,2025,2006-08-07,,2012-01-30,2012-07-10,2020-12-16,2003-10-08,2000-12-12,2001-02-21,2016-10-12,2021-05-27,2022-10-27,,,,,관리처분인가,도시정비과,031-8045-2402
안양시,관리처분,재개발,안양역세권,경기도 안양시 만안구 안양2동 841-5,37.40445148,126.9181904,27385,1943~2014,84,449,853,411,408,34,819,34,100~200%,435%,449,413,조합,2015,2028,2014-10-21,,2015-06-05,2015-08-07,2017-11-22,2016-01-08,,,2016-12-27,2020-02-04,2021-09-17,,,,,철거,도시정비과,031-8045-2366
안양시,관리처분,재건축,향림아파트,경기도 안양시 안양시 만안구 안양동43-1,37.39370134,126.9211003,8497,1981,7,,271,210,61,,271,,135%,270%,194,194,조합,2020,2026,2019-09-07,,,,,2011-05-09,,2003-02-19,2013-03-25,2020-08-13,2022-03-10,,,,,관리처분인가,도시정비과,031-8045-5065
안양시,착공,재건축,뉴타운맨션 삼호아파트,경기도 안양시 동안구 비산3동 354-10,37.4022553,126.9454198,123298,1981/1985,18,2052,2737,2045,581,111,2737,111,170~190%,300%,2007,1992,조합,2012,2027,2006-08-07,,2011-12-07,2012-06-11,2022-05-25,2012-11-22,2010-04-09,2011-01-27,2016-05-04,2020-01-14,2021-02-09,2024-08-29,2024-11-14,,,공사중,도시정비과,031-8045-5065
안양시,착공,재개발,화창,경기도 안양시 만안구 석수2동 348,37.41253033,126.9040783,22670,평균 1985,83,359,483,443,,40,443,40,100~200%,242%,225,201,조합,2009,2026,2006-08-07,,2009-06-29,2009-12-29,2023-12-04,2006-08-16,,,2010-11-25,2019-03-29,2020-12-28,2023-07-04,2023-10-13,,,착공,도시정비과,031-8045-2407
안양시,착공,재건축,삼신6차아파트,경기도 안양시 동안구 호계3동 651-1,37.36726098,126.9518587,14831,1984,18,332,456,246,191,19,437,19,132%,300%,346,246,조합,2008,2024,2006-08-07,,,2008-01-28,2018-11-29,,2003-04-11,2003-05-30,2003-06-26,2009-04-27,2010-11-29,2022-08-05,2022-08-29,,,공사중,도시정비과,031-8045-5065
안양시,준공,재개발,비산초교 주변,경기도 안양시 동안구 비산3동 281-1,37.40671516,126.9443633,114548,1976~2007,292,1950,2739,1691,709,339,2400,339,100~200%,287%,2045,1668,조합,2015,2024,2010-05-27,2012-02-01,2014-09-05,2015-01-30,2024-10-21,2015-09-14,,,2016-05-24,2019-02-28,2020-01-15,2021-05-28,2021-09-13,2024-06-19,,부분준공,도시정비과,031-8045-2382
안양시,준공,재개발,융창아파트 주변,경기도 안양시 동안구 호계2동 929,37.38128629,126.9493377,108017,1978~2004,329,1561,2417,1308,913,196,2221,196,100~200%,268%,1290,1288,조합,2011,2024,2006-08-07,,2011-05-18,2011-05-18,2025-03-21,2006-08-22,,,2011-11-14,2018-05-29,2019-07-29,2021-05-31,2021-06-24,2024-08-19,,부분준공,도시정비과,031-8045-2374
안양시,정비구역,재건축,석수럭키아파트,경기도 안양시 만안구 석수동 296,37.40878751,126.9085832,30231,1987,11,735,,,,,,,235.70%,280%,,,,,,2020-03-09,2022-06-30,2025-03-12,2025-03-12,,,2020-07-07,2021-09-17,,,,,,,,정비구역지정,도시정비과,031-8045-2399
안양시,정비구역,재건축,진흥5차아파트,경기도 안양시 만안구 안양동 908-4,37.4001422,126.911069,18384,1987,7,432,,,,,,,183.50%,250%,,,,,,2020-03-09,2022-06-30,2025-01-24,2025-01-24,,,2020-07-08,2021-08-30,,,,,,,,정비구역지정,도시정비과,031-8045-5065
안양시,정비구역,재건축,벽산아파트,경기도 안양시 만안구 안양동 627-72,37.39612903,126.9225112,12412,1985,5,275,,,,,,,228.70%,270%/800%,,,,,,2020-03-09,2022-06-30,2025-02-13,2025-02-13,,,2020-07-24,2021-08-31,,,,,,,,정비구역지정,도시정비과,031-8045-2402
안양시,예정구역,재건축,호계럭키아파트,경기도 안양시 동안구 호계동 570,37.37716981,126.9515291,41517,1992,13,794,,,,,,,210.90%,250%,,,,,,2020-03-09,2022-06-30,,,,,2023-04-12,2024-03-22,,,,,,,,정비구역지정 용역중,도시정비과,031-8045-2399
안양시,정비구역,재개발,충훈부,경기도 안양시 만안구 석수동 768-6,37.40604015,126.8970114,157216,,452,2473,2567,2155,206,206,2361,206,160.40%,260%,2474,,LH,2022,2030,2020-03-09,,2022-06-08,2022-06-08,,,,,,,,,,,,사업시행자 지정,도시정비과,031-8045-5282
안양시,조합설립,재개발,종합운동장 북측,경기도 안양시 동안구 비산동 1015-22,37.40774138,126.9483024,64375,,200,910,1293,,1141,152,1293,152,115.60%,300%,911,910,조합,2022,2033,2020-03-09,2022-05-23,2022-05-23,2022-05-23,2024-10-16,2022-07-21,2022-07-21,,2023-08-16,,,,,,,사업시행계획 인가 준비,도시정비과,031-8045-2407
